time,speed,rpm,gear
1662162181959,0.21,1754.0,2
1662162181960,0.87,1681.41,2
1662162181967,0.99,1611.3,2
1662162181988,1.86,1645.36,2
1662162182002,2.12,1571.54,2
1662162182016,2.94,1673.25,2
1662162182037,3.31,1612.28,2
1662162182051,3.88,1683.12,2
1662162182072,4.39,1697.74,2
1662162182086,4.93,1731.71,2
1662162182100,5.37,1758.27,2
1662162182121,5.97,1818.51,2
1662162182135,6.36,1829.08,2
1662162182149,7.03,1908.86,2
1662162182170,7.42,1906.63,2
1662162182184,8.11,1991.39,2
1662162182205,8.51,1987.38,2
1662162182219,9.19,2072.06,2
1662162182233,9.6,2076.74,2
1662162182255,10.29,2163.4,2
1662162182269,10.7,2170.64,2
1662162182283,11.37,2259.89,2
1662162182303,11.79,2276.74,2
1662162182317,12.48,2369.32,2
1662162182338,12.9,2382.89,2
1662162182352,13.57,2477.95,2
1662162182366,14.0,2504.06,2
1662162182387,14.69,2597.6,2
1662162182401,15.12,2620.34,2
1662162182422,15.79,2718.72,2
1662162182436,16.23,2749.17,2
1662162182450,16.92,2847.63,2
1662162182471,17.37,2874.47,2
1662162182485,18.01,2970.42,2
1662162182499,18.49,3011.09,2
1662162182520,19.16,3101.15,2
1662162182534,19.64,3134.82,2
1662162182555,20.27,3221.42,2
1662162182569,20.77,3266.0,2
1662162182583,21.43,3344.48,2
1662162182604,21.96,3379.13,2
1662162182618,22.56,3450.42,2
1662162182639,23.14,3501.1,2
1662162182653,23.76,3557.95,2
1662162182667,24.33,3602.61,2
1662162182688,24.94,3659.34,2
1662162182702,25.54,3707.35,2
1662162182716,26.14,3756.51,2
1662162182737,26.77,3803.78,2
1662162182750,27.34,3845.68,2
1662162182771,27.99,3902.05,2
1662162182785,28.56,3938.98,2
1662162182799,29.22,3994.71,2
1662162182820,29.72,4027.15,2
1662162182834,30.42,4101.07,2
1662162182855,30.9,4122.8,2
1662162182869,31.6,4204.72,2
1662162182883,32.04,4224.84,2
1662162182904,32.79,4316.74,2
1662162182918,33.18,4325.29,2
1662162182932,33.98,4430.85,2
1662162182953,34.35,4427.74,2
1662162182967,35.15,4538.9,2
1662162182988,35.5,4533.91,2
1662162183002,36.33,4650.41,2
1662162183016,36.66,4637.84,2
1662162183037,37.49,4760.66,2
1662162183051,37.79,4747.68,2
1662162183072,38.66,4878.83,2
1662162183085,38.93,4854.06,2
1662162183100,39.82,4995.72,2
1662162183121,40.09,4969.05,2
1662162183135,40.97,5111.05,2
1662162183155,41.28,5085.75,2
1662162183169,42.08,5217.38,2
1662162183184,42.45,5213.7,2
1662162183205,43.24,5329.76,2
1662162183219,43.65,5331.42,2
1662162183233,44.34,5438.07,2
1662162183254,44.82,5467.56,2
1662162183268,45.51,5557.56,2
1662162183288,46.03,5585.69,2
1662162183302,46.59,5664.84,2
1662162183316,47.21,5733.73,2
1662162183337,47.82,5787.96,2
1662162183351,48.37,5841.94,2
1662162183372,48.92,5915.98,2
1662162183386,49.53,5992.3,2
1662162183400,50.17,6048.29,2
1662162183421,50.7,6099.07,2
1662162183435,51.22,6183.62,2
1662162183449,51.89,6270.85,2
1662162183470,52.53,6316.34,2
1662162183484,53.03,6371.31,2
1662162183505,53.6,6468.42,2
1662162183519,54.25,6545.73,2
1662162183533,54.87,6602.46,2
