time,speed,rpm,gear
1662162258749,0.43,1754.0,2
1662162258784,1.12,1681.41,2
1662162258784,1.62,1611.3,2
1662162258798,2.18,1546.55,2
1662162258812,2.76,1540.36,2
1662162258826,3.35,1543.7,2
1662162258847,3.82,1542.24,2
1662162258861,4.37,1579.31,2
1662162258875,4.91,1592.33,2
1662162258896,5.5,1609.51,2
1662162258909,5.96,1614.47,2
1662162258931,6.53,1658.3,2
1662162258945,7.07,1671.69,2
1662162258959,7.71,1697.22,2
1662162258980,8.17,1690.57,2
1662162258994,8.8,1742.6,2
1662162259008,9.33,1742.46,2
1662162259029,10.05,1775.51,2
1662162259043,10.52,1752.43,2
1662162259064,11.15,1804.36,2
1662162259077,11.71,1811.79,2
1662162259092,12.37,1838.0,2
1662162259113,12.76,1839.21,2
1662162259126,13.24,1918.25,2
1662162259210,13.76,1973.37,2
1662162259231,16.46,2224.89,2
1662162259245,16.93,2266.1,2
1662162259258,17.43,2342.18,2
1662162259279,18.01,2412.76,2
1662162259293,18.62,2459.0,2
1662162259314,19.08,2502.89,2
1662162259328,19.57,2588.31,2
1662162259343,20.2,2671.05,2
1662162259364,20.77,2710.36,2
1662162259378,21.24,2768.33,2
1662162259392,21.78,2857.97,2
1662162259413,22.38,2929.4,2
1662162259427,22.98,2983.27,2
1662162259447,23.47,3035.02,2
1662162259462,23.99,3120.58,2
1662162259476,24.61,3199.28,2
1662162259497,25.23,3245.07,2
1662162259511,25.7,3290.72,2
1662162259525,26.23,3378.37,2
1662162259546,26.86,3451.93,2
1662162259560,27.44,3494.22,2
1662162259581,27.94,3548.14,2
1662162259595,28.45,3627.56,2
1662162259609,29.08,3704.14,2
1662162259629,29.71,3745.01,2
1662162259643,30.17,3785.94,2
1662162259658,30.73,3875.65,2
1662162259679,31.33,3936.54,2
1662162259693,31.91,3985.52,2
1662162259714,32.44,4038.76,2
1662162259728,32.94,4108.29,2
1662162259742,33.54,4185.89,2
1662162259763,34.16,4234.92,2
1662162259776,34.67,4275.83,2
1662162259797,35.16,4350.78,2
1662162259811,35.82,4431.63,2
1662162259825,36.42,4461.67,2
1662162259846,36.89,4511.37,2
1662162259860,37.45,4598.17,2
1662162259881,38.04,4659.08,2
1662162259895,38.63,4709.06,2
1662162259909,39.14,4762.0,2
1662162259930,39.66,4837.05,2
1662162259944,40.27,4911.73,2
1662162259958,40.9,4957.59,2
1662162259979,41.39,5000.87,2
1662162259993,41.91,5083.67,2
1662162260014,42.56,5157.27,2
1662162260029,43.16,5196.16,2
1662162260042,43.65,5248.21,2
1662162260064,44.18,5333.14,2
1662162260077,44.81,5405.13,2
1662162260091,45.42,5451.88,2
1662162260112,45.91,5503.94,2
1662162260126,46.45,5590.04,2
1662162260147,47.07,5664.09,2
1662162260161,47.7,5713.52,2
1662162260175,48.2,5762.49,2
1662162260196,48.73,5849.71,2
1662162260210,49.39,5929.74,2
1662162260224,49.99,5973.38,2
1662162260245,50.49,6033.36,2
1662162260259,51.05,6123.12,2
1662162260280,51.68,6199.87,2
1662162260294,52.31,6254.8,2
1662162260308,52.82,6310.74,2
1662162260329,53.38,6403.57,2
1662162260343,54.03,6484.26,2
1662162260365,54.67,6538.87,2
1662162260379,55.18,6597.94,2
1662162260393,55.74,6693.7,2
1662162260414,56.4,6781.33,2
1662162260428,57.04,6836.32,2
1662162260442,57.56,6902.39,2
1662162260463,58.14,7001.91,2
1662162260477,58.8,7089.52,2
1662162260491,59.46,7153.23,2
1662162260512,60.0,7219.11,2
1662162260526,60.57,7322.79,2
1662162260546,61.27,7417.75,2
1662162260561,61.92,7480.76,2
1662162260575,62.47,7556.16,2
1662162260596,63.08,7664.38,2
1662162260610,63.76,7760.28,2
1662162260624,64.43,7834.35,2
1662162260645,65.01,7915.92,2
1662162260659,65.6,8027.54,2
1662162260680,66.32,8135.71,2
1662162260694,66.46,8572.41,2
1662162260708,66.24,8471.9,2
1662162260729,66.22,8366.56,1
1662162260743,66.17,8262.34,1
1662162260764,66.17,8159.28,1
1662162260778,66.14,8057.37,3
1662162260792,66.08,7956.6,3
1662162260813,66.06,7856.95,3
1662162260827,66.33,7631.69,3
1662162260841,66.66,7280.8,3
1662162260862,67.26,6805.67,3
1662162260876,67.84,6207.68,3
1662162260897,68.51,5648.05,3
1662162260911,68.93,5378.38,3
1662162260924,68.83,5227.56,3
1662162260946,68.71,5284.42,3
1662162260960,68.94,5385.41,3
1662162260974,69.21,5416.56,3
1662162260995,69.53,5475.82,3
1662162261009,70.0,5542.41,3
1662162261030,70.42,5558.11,3
1662162261044,70.76,5593.23,3
1662162261058,71.21,5651.69,3
1662162261079,71.66,5676.95,3
1662162261093,72.06,5701.78,3
1662162261114,72.42,5741.04,3
1662162261128,72.87,5794.35,3
1662162261142,73.34,5822.69,3
1662162261163,73.75,5840.79,3
1662162261177,74.1,5881.04,3
1662162261191,74.58,5939.72,3
1662162261212,75.04,5955.36,3
1662162261226,75.43,5979.56,3
1662162261247,75.8,6026.37,3
1662162261261,76.28,6078.43,3
1662162261275,76.77,6097.22,3
1662162261296,77.13,6113.41,3
1662162261310,77.5,6171.13,3
1662162261331,78.05,6225.32,3
1662162261345,78.48,6225.43,3
1662162261359,78.83,6257.97,3
1662162261380,79.29,6319.99,3
1662162261394,79.75,6349.62,3
1662162261408,80.2,6375.75,3
1662162261429,80.58,6407.74,3
1662162261443,81.01,6460.03,3
1662162261464,81.49,6501.59,3
1662162261478,81.96,6523.12,3
1662162261492,82.33,6550.14,3
1662162261513,82.76,6608.07,3
1662162261527,83.26,6649.76,3
1662162261541,83.74,6668.16,3
1662162261562,84.1,6692.53,3
1662162261576,84.54,6755.34,3
1662162261598,85.04,6796.61,3
1662162261612,85.53,6817.82,3
1662162261626,85.91,6841.9,3
1662162261647,86.31,6899.99,3
1662162261661,86.85,6954.09,3
1662162261675,87.34,6963.47,3
1662162261696,87.7,6990.54,3
1662162261709,88.16,7058.38,3
1662162261730,88.66,7095.09,3
1662162261744,89.14,7120.95,3
1662162261758,89.55,7151.21,3
1662162261779,89.97,7205.26,3
1662162261793,90.5,7257.57,3
1662162261814,91.0,7276.79,3
1662162261828,91.39,7304.69,3
1662162261842,91.84,7367.8,3
1662162261863,92.36,7413.53,3
1662162261877,92.87,7434.86,3
1662162261891,93.27,7461.93,3
1662162261912,93.71,7525.86,3
1662162261926,94.26,7575.98,3
1662162261946,94.77,7594.42,3
1662162261961,95.17,7623.6,3
1662162261976,95.63,7689.76,3
1662162261997,96.17,7737.95,3
1662162262011,96.7,7760.64,3
1662162262025,97.11,7788.89,3
1662162262046,97.56,7853.43,3
1662162262060,98.13,7908.37,3
1662162262081,98.65,7925.1,3
1662162262095,99.06,7957.35,3
1662162262109,99.55,8027.72,3
1662162262130,100.1,8071.98,3
1662162262144,100.64,8100.23,3
1662162262158,101.08,8132.24,3
1662162262179,101.54,8194.98,3
1662162262193,102.11,8253.1,3
1662162262214,102.67,8276.14,3
1662162262227,102.45,8724.21,3
1662162262241,101.99,8622.15,3
1662162262262,101.77,8515.14,1
1662162262276,101.6,8409.26,1
1662162262297,101.51,8304.56,1
1662162262311,101.44,8201.03,4
1662162262325,101.39,8098.65,4
1662162262346,101.33,7997.42,4
1662162262360,101.43,7770.59,4
1662162262374,101.68,7418.15,4
1662162262395,102.12,6941.49,4
1662162262409,102.45,6576.28,4
1662162262430,102.32,6406.26,4
1662162262444,102.03,6380.34,4
1662162262458,101.92,6440.95,4
1662162262479,101.92,6479.12,4
1662162262493,101.98,6515.53,4
1662162262514,102.18,6572.9,4
1662162262528,102.5,6619.85,4
1662162262542,102.83,6649.53,4
1662162262563,103.1,6677.01,4
1662162262577,103.48,6722.28,4
1662162262598,103.86,6736.65,4
1662162262612,104.19,6748.42,4
1662162262626,104.5,6775.2,4
1662162262647,104.86,6808.9,4
1662162262660,105.24,6831.06,4
1662162262675,105.58,6843.05,4
1662162262696,105.87,6868.02,4
1662162262710,106.24,6909.83,4
1662162262731,106.65,6927.77,4
1662162262745,106.98,6932.02,4
1662162262759,107.25,6961.7,4
1662162262779,107.68,7011.19,4
1662162262793,108.05,7012.43,4
1662162262814,108.36,7026.82,4
1662162262828,108.69,7063.69,4
1662162262842,109.06,7094.89,4
1662162262863,109.46,7114.53,4
1662162262877,109.79,7124.54,4
1662162262891,110.07,7155.41,4
1662162262912,110.49,7202.59,4
1662162262926,110.88,7208.43,4
1662162262947,111.2,7221.03,4
1662162262961,111.53,7257.66,4
1662162262975,111.9,7291.8,4
1662162262996,112.32,7311.5,4
1662162263010,112.65,7318.71,4
1662162263031,112.93,7349.81,4
1662162263045,113.36,7400.7,4
1662162263059,113.75,7402.85,4
1662162263080,114.07,7419.33,4
1662162263094,114.42,7457.12,4
1662162263108,114.79,7487.49,4
1662162263129,115.19,7509.98,4
1662162263143,115.54,7522.38,4
1662162263164,115.84,7551.37,4
1662162263178,116.25,7597.88,4
1662162263192,116.66,7612.04,4
1662162263213,117.0,7621.66,4
1662162263227,117.31,7655.69,4
1662162263247,117.73,7701.02,4
1662162263262,118.14,7709.81,4
1662162263276,118.47,7723.21,4
1662162263297,118.81,7760.38,4
1662162263310,119.21,7798.28,4
1662162263324,119.62,7815.24,4
1662162263345,119.97,7829.44,4
1662162263360,120.28,7861.52,4
1662162263381,120.7,7908.0,4
1662162263395,121.13,7921.77,4
1662162263409,121.47,7932.42,4
1662162263430,121.8,7969.68,4
1662162263444,122.22,8012.32,4
1662162263458,122.63,8024.36,4
1662162263479,123.0,8041.03,4
1662162263493,123.33,8073.01,4
1662162263514,123.73,8116.16,4
1662162263528,123.61,8555.1,4
1662162263542,123.23,8454.8,4
1662162263563,122.96,8349.66,1
1662162263577,122.77,8245.63,1
1662162263591,122.69,8142.75,1
1662162263612,122.61,8041.03,5
1662162263626,122.51,7940.44,5
1662162263647,122.38,7840.97,5
1662162263661,122.42,7615.89,5
1662162263675,122.57,7265.17,5
1662162263696,122.75,6790.22,5
1662162263710,123.12,6249.55,5
1662162263731,123.17,6078.67,5
1662162263745,122.92,5998.6,5
1662162263759,122.71,6032.32,5
1662162263780,122.62,6077.15,5
1662162263794,122.68,6113.07,5
1662162263808,122.83,6131.59,5
1662162263829,122.94,6146.77,5
1662162263843,123.09,6186.16,5
1662162263864,123.41,6217.05,5
1662162263878,123.66,6199.02,5
1662162263892,123.79,6198.91,5
1662162263913,123.98,6235.15,5
1662162263927,124.28,6253.12,5
1662162263941,124.52,6238.83,5
1662162263962,124.64,6242.59,5
1662162263976,124.85,6281.61,5
1662162263996,125.14,6295.25,5
1662162264010,125.38,6283.18,5
1662162264024,125.52,6287.55,5
1662162264045,125.69,6319.95,5
1662162264059,126.0,6342.6,5
1662162264080,126.24,6328.84,5
1662162264094,126.34,6330.54,5
1662162264108,126.56,6373.56,5
1662162264129,126.85,6385.08,5
1662162264143,127.08,6374.45,5
1662162264164,127.23,6379.74,5
1662162264178,127.41,6408.56,5
1662162264191,127.7,6431.57,5
1662162264212,127.94,6421.65,5
1662162264226,128.05,6424.74,5
1662162264247,128.27,6464.19,5
1662162264261,128.55,6477.14,5
1662162264275,128.8,6468.14,5
1662162264296,128.93,6469.41,5
1662162264310,129.1,6503.23,5
1662162264331,129.43,6528.54,5
1662162264345,129.66,6507.9,5
1662162264359,129.76,6513.37,5
1662162264380,130.0,6556.79,5
1662162264394,130.26,6561.2,5
1662162264408,130.5,6559.55,5
1662162264429,130.65,6563.38,5
1662162264443,130.8,6590.6,5
1662162264463,131.13,6622.3,5
1662162264477,131.37,6602.09,5
1662162264491,131.46,6604.78,5
1662162264512,131.71,6651.01,5
1662162264526,131.97,6653.54,5
1662162264547,132.2,6650.63,5
1662162264561,132.37,6655.78,5
1662162264575,132.52,6679.88,5
1662162264596,132.82,6710.47,5
1662162264610,133.07,6697.58,5
1662162264631,133.18,6697.73,5
1662162264645,133.39,6738.78,5
1662162264659,133.68,6752.49,5
1662162264680,133.92,6741.43,5
1662162264694,134.05,6744.26,5
1662162264708,134.23,6778.7,5
1662162264729,134.55,6802.34,5
1662162264743,134.78,6784.26,5
1662162264764,134.88,6788.8,5
1662162264778,135.11,6831.58,5
1662162264792,135.38,6839.13,5
1662162264813,135.62,6834.11,5
1662162264826,135.77,6838.34,5
1662162264848,135.93,6867.25,5
1662162264862,136.24,6896.12,5
1662162264876,136.49,6879.28,5
1662162264897,136.58,6880.89,5
1662162264911,136.82,6925.43,5
1662162264925,137.09,6932.97,5
1662162264946,137.34,6926.15,5
1662162264960,137.49,6928.42,5
1662162264981,137.64,6956.88,5
1662162264995,137.97,6987.05,5
1662162265009,138.21,6967.22,5
1662162265030,138.31,6969.45,5
1662162265044,138.55,7014.27,5
