time,Speed pointer 1,RPM pointer 1,Gear pointer 1,
1650921372150,8.076145832092152e-07,1000.298095703125,0,
1650921372175,7.211418733277242e-07,1000.298095703125,0,
1650921372190,3.5614527860161616e-07,1000.298095703125,0,
1650921372205,8.836752272145532e-07,1000.298095703125,0,
1650921372220,3.903323886333965e-07,1000.298095703125,0,
1650921372235,3.862940900489775e-07,1000.298095703125,0,
1650921372250,2.0949323698005173e-07,1000.298095703125,0,
1650921372265,4.0919928778748726e-07,1000.298095703125,0,
1650921372280,4.0919928778748726e-07,1000.298095703125,0,
1650921372295,3.334832001655741e-07,1000.298095703125,0,
1650921372310,1.7526313911275793e-07,1000.298095703125,0,
1650921372325,1.4139943971258617e-07,1000.298095703125,0,
1650921372340,3.3911348396031826e-08,1000.298095703125,0,
1650921372355,4.1718894294717757e-07,1000.298095703125,0,
1650921372370,4.811788585357135e-07,1000.298095703125,0,
1650921372385,2.23349889694191e-08,1000.298095703125,0,
1650921372400,2.23349889694191e-08,1000.298095703125,0,
1650921372415,3.5915146412435206e-08,1000.298095703125,0,
1650921372429,8.409766394379403e-08,1000.298095703125,0,
1650921372444,3.512875252908998e-07,1000.298095703125,0,
1650921372459,9.864210142040974e-07,1000.298095703125,0,
1650921372474,6.170811275296728e-07,1000.298095703125,0,
1650921372489,6.013606252963655e-07,1000.298095703125,0,
1650921372504,1.172582301478542e-06,1000.298095703125,0,
1650921372519,6.293018373071391e-07,1000.298095703125,0,
1650921372534,2.9193873274380167e-07,1000.298095703125,0,
1650921372549,2.9193873274380167e-07,1000.298095703125,0,
1650921372564,3.572802711460099e-07,1000.298095703125,0,
1650921372579,3.066273848162382e-07,1000.298095703125,0,
1650921372594,1.832346328001222e-07,1000.298095703125,0,
1650921372609,3.3675999588922423e-07,1000.298095703125,0,
1650921372624,9.138378231909883e-08,1000.298095703125,0,
1650921372639,4.5975394158404015e-08,1000.298095703125,0,
1650921372654,9.63984359003689e-09,1000.298095703125,0,
1650921372669,4.0200328044193157e-07,1000.298095703125,0,
1650921372684,4.1150758534058696e-07,1000.298095703125,0,
1650921372699,4.1150758534058696e-07,1000.298095703125,0,
1650921372714,7.803362223057775e-07,1000.298095703125,0,
1650921372729,5.977881869512203e-07,1000.298095703125,0,
1650921372744,5.71652343239748e-08,1000.298095703125,0,
1650921372759,9.649037338022026e-07,1000.298095703125,0,
1650921372774,1.5879353441050625e-06,1000.298095703125,0,
1650921372789,2.966506258417212e-07,1000.298095703125,0,
1650921372804,9.924146979756188e-07,1000.298095703125,0,
1650921372819,9.231039257429074e-07,1000.298095703125,0,
1650921372834,9.231039257429074e-07,1000.298095703125,0,
1650921372849,1.2331024379363953e-07,1000.298095703125,0,
1650921372864,1.515814851416053e-08,1000.298095703125,0,
1650921372879,1.6226350396664202e-07,1000.298095703125,0,
1650921372893,1.7670362240096438e-07,1000.298095703125,0,
1650921372908,2.1734733479661372e-07,1000.298095703125,0,
1650921372923,2.4029364453781454e-07,1000.298095703125,0,
1650921372938,1.7433637822250603e-07,1000.298095703125,0,
1650921372953,8.648257932009074e-08,1000.298095703125,0,
1650921372968,8.648257932009074e-08,1000.298095703125,0,
1650921372983,3.7863742363697384e-07,1000.298095703125,0,
1650921372998,7.714890557508625e-07,1000.298095703125,0,
1650921373013,5.897179562452948e-07,1000.298095703125,0,
1650921373028,5.897179562452948e-07,1000.298095703125,0,
1650921373043,5.8240065214931747e-08,1000.298095703125,0,
1650921373058,1.500511359608936e-07,1000.298095703125,0,
1650921373073,1.2446831476609077e-07,1000.298095703125,0,
1650921373088,3.0421790597756626e-07,1000.298095703125,0,
1650921373103,3.5959149613518093e-07,1000.298095703125,0,
1650921373118,6.00011503593123e-07,1000.298095703125,0,
1650921373133,2.1352244417016664e-08,1000.298095703125,0,
1650921373148,8.494250209878373e-07,1000.298095703125,0,
1650921373163,8.494250209878373e-07,1000.298095703125,0,
1650921373178,6.238694822968682e-07,1000.298095703125,0,
1650921373193,5.744881264035939e-07,1000.298095703125,0,
1650921373208,1.1325275863782736e-06,1000.298095703125,0,
1650921373223,6.493078785752004e-07,1000.298095703125,2,
1650921373238,2.573260644567199e-07,1000.298095703125,2,
1650921373253,3.2777433034425485e-07,1000.298095703125,2,
1650921373267,5.750281388827716e-07,1000.298095703125,2,
1650921373283,9.664164508649264e-07,1000.298095703125,2,
1650921373298,9.664164508649264e-07,1000.298095703125,2,
1650921373312,3.5400438491706154e-07,1000.298095703125,2,
1650921373327,5.2545004791682e-07,1000.298095703125,2,
1650921373342,1.3720282368012704e-06,1000.298095703125,2,
1650921373357,1.0273033694829792e-06,1000.298095703125,2,
1650921373372,2.4551397359573457e-07,1000.298095703125,2,
1650921373387,9.389722208652529e-07,1000.298095703125,2,
1650921373402,4.90519141749246e-07,1041.1322021484375,2,
1650921373417,4.90519141749246e-07,1122.80029296875,2,
1650921373432,4.748551134525769e-07,1122.80029296875,2,
1650921373447,2.5675146275716543e-07,1249.5291748046875,2,
1650921373462,4.0815464785737277e-07,1429.13232421875,2,
1650921373477,3.2675080774424714e-07,1672.195556640625,2,
1650921373492,1.3531534648336674e-07,1940.19482421875,2,
1650921373507,4.0637235088070156e-07,2237.28564453125,2,
1650921373522,5.439547408059298e-07,2560.24609375,2,
1650921373537,1.1187090365183394e-07,2904.276123046875,2,
1650921373552,1.1187090365183394e-07,3262.13671875,2,
1650921373566,7.300428137568815e-07,3262.13671875,2,
1650921373581,4.995519589101605e-07,3624.331787109375,2,
1650921373596,6.13457075360202e-07,3983.19921875,2,
1650921373611,1.1236330692554475e-06,4339.86083984375,2,
1650921373627,5.861312502020155e-07,4695.96435546875,2,
1650921373642,2.958049094559101e-07,5053.11865234375,2,
1650921373656,3.2038826702773804e-07,5412.9189453125,2,
1650921373671,2.4392124942096416e-07,5776.974609375,2,
1650921373686,2.488079644535901e-07,6146.93994140625,2,
1650921373701,3.890591244726238e-07,6524.54296875,2,
1650921373716,6.124380291794296e-08,6911.615234375,2,
1650921373731,4.471221615176546e-08,7310.12744140625,2,
1650921373746,4.471221615176546e-08,7722.2294921875,2,
1650921373761,1.4831057271180725e-08,7722.2294921875,2,
1650921373777,3.672845139135461e-07,8150.29052734375,2,
1650921373792,3.8756022036068316e-07,8596.95703125,2,
1650921373807,7.634984058313421e-07,9065.212890625,2,
1650921373822,5.897670689591905e-07,9243.2392578125,2,
1650921373837,5.886174037073033e-08,8632.900390625,2,
1650921373852,9.679074537416454e-07,8513.7236328125,2,
1650921373867,1.5906621229078155e-06,8401.66796875,2,
1650921373883,3.0220328994801093e-07,8291.001953125,2,
1650921373898,3.0220328994801093e-07,8181.64404296875,2,
1650921373913,9.864838830253575e-07,8181.64404296875,2,
1650921373928,9.162978926724463e-07,8657.4990234375,2,
1650921373943,1.180581250537216e-07,9127.42578125,2,
1650921373958,2.0590015026300534e-08,9246.8193359375,2,
1650921373972,1.6624949239485431e-07,8632.1748046875,2,
1650921373987,1.7793634299323458e-07,8512.95703125,2,
1650921374002,2.148759818965118e-07,8400.9091796875,2,
1650921374017,2.4106608975671406e-07,8290.2529296875,2,
1650921374032,2.4106608975671406e-07,8290.2529296875,2,
1650921374047,1.7167840837828408e-07,8180.9033203125,2,
1650921374062,8.089846659231625e-08,8656.716796875,2,
1650921374077,3.4347664268352673e-07,9126.6044921875,2,
1650921374092,3.86697792009727e-07,9246.7724609375,2,
1650921374107,7.793146892254299e-07,8632.1845703125,2,
1650921374122,5.890284455745132e-07,8512.966796875,2,
1650921374137,6.051705270238017e-08,8400.9189453125,2,
1650921374152,9.789381465452607e-07,8290.26171875,2,
1650921374167,9.789381465452607e-07,8180.91259765625,2,
1650921374183,7.809088629073813e-07,8180.91259765625,2,
1650921374197,3.600453055696562e-07,8656.7265625,2,
1650921374212,9.323832728114212e-07,9126.6142578125,2,
1650921374227,1.1793885050792596e-06,9246.7734375,2,
1650921374242,5.139920631336281e-07,8632.1845703125,2,
1650921374257,5.639539608637278e-07,8512.966796875,2,
1650921374273,4.858130751017598e-07,8400.9189453125,2,
1650921374288,6.090173201300786e-07,8290.26171875,2,
1650921374303,1.1092032536907936e-06,8180.91259765625,2,
1650921374318,1.1092032536907936e-06,8180.91259765625,2,
1650921374333,6.436810622290068e-07,8656.7265625,2,
1650921374348,2.273294938959225e-07,9126.6142578125,2,
1650921374363,1.0888260248975712e-06,9246.7734375,2,
1650921374378,8.277741585516196e-07,8632.1845703125,2,
1650921374393,3.8255976164691674e-07,8512.966796875,2,
1650921374408,1.0135037200598163e-06,8400.9189453125,2,
1650921374423,5.406730565482576e-07,8290.26171875,2,
1650921374438,3.3526893616908637e-07,8180.91259765625,2,
1650921374452,3.3526893616908637e-07,8656.7265625,2,
1650921374467,3.282499960732821e-07,9126.6142578125,2,
1650921374482,2.15007602832884e-07,9246.7734375,2,
1650921374497,3.45842892102155e-07,8632.1845703125,2,
1650921374512,3.45842892102155e-07,8512.966796875,2,
